Complaint_ID,Complaint_Text,Complaint_Type,Block,Floor,Room_No,Category,Duration,Students_Affected,Support_Count,Priority,Status,Complaint_Date
C0059,Left my denim jacket in the mess hall yesterday and cant find it anywhere now!!,Private,B,Ground,2,Security,since yesterday,1,0,Low,In Progress,16-05-2026
C0060,"power backup didnt kick in at all during last nights outage, we sat in the dark for hours, pls fix asap",Public,A,First,16,Electricity,since last night,82,4,High,Pending,17-05-2026
C0061,"Flush in the common washroom on First floor isnt working properly at all, for the past 2 days.",Public,A,First,20,Washroom,for the past 2 days,35,17,Medium,Resolved,17-05-2026
C0062,false ceiling panel near the stairwell fell down suddenly yesterday,Public,A,Second,24,Furniture,since yesterday,18,3,High,Pending,17-05-2026
C0063,fan in Room 39 makes a loud grinding noise and wobbles when running on high speed,Public,A,First,15,Electricity,for the past 3 days,1,0,Low,Pending,17-05-2026
C0064,"Carrom board in the common room is missing four coins so we cant even play properly, since Tuesday. Please look into this at the earliest.",Public,C,First,15,Furniture,since Tuesday,28,5,Low,Resolved,17-05-2026
C0065,"mess hall tables are always sticky and the floor never actually gets mopped, since last week",Public,A,Ground,1,Mess,since last week,55,4,High,Rejected,17-05-2026
C0066,My room light switch gives a mild shock every time I touch it. Hope this gets resolved soon,Public,A,Ground,6,Electricity,since Monday,1,0,Critical,Pending,17-05-2026
C0067,"Dear Warden, lift in our block has been out of service for days, we have to carry luggage up 5 floors. Kindly resolve at the earliest.",Public,A,Ground,9,Lift,for 4 days now,27,16,High,Resolved,17-05-2026
C0068,"The drain right outside Block C is overflowing and it smells terrible, for almost a week.",Public,C,Second,26,Drainage,for almost a week,26,2,High,Resolved,18-05-2026
C0069,"For 5 hours, sink drain in my room is completely clogged, water just doesnt go down anymore.",Public,B,Second,30,Drainage,for 5 hours,2,0,Medium,Resolved,18-05-2026
C0070,"Water pressure is extremely low every morning, cant even fill a bucket properly.",Public,A,Second,22,Water Supply,for over a week,65,30,High,In Progress,18-05-2026
C0071,"Corridor floor on First floor is covered in dust and hasnt been swept in a while, since last Friday.",Public,A,First,20,Cleanliness,since last Friday,16,4,Low,Rejected,18-05-2026
C0072,The lift in Block D has been making a horrible grinding noise and it feels unsafe.,Public,A,Second,29,Lift,for 5 hours,24,1,High,In Progress,18-05-2026
C0073,"Corridor lights on Ground floor have been flickering on and off for no reason, since the weekend.",Public,B,Ground,1,Electricity,since the weekend,24,3,High,Resolved,18-05-2026
C0074,Reading room chairs on Second floor are all wobbly and honestly quite uncomfortable to sit on.,Public,B,Second,25,Furniture,for 6 days,40,24,Medium,Resolved,18-05-2026
C0075,"My earphones went missing from the room, not really sure if it was stolen or just misplaced. Kindly send someone to look at it.",Private,B,First,11,Security,since Wednesday,1,0,Low,Resolved,19-05-2026
C0076,"My wallet went missing from the room, not really sure if it was stolen or just misplaced, for the past 2 days.",Private,C,Ground,6,Security,for the past 2 days,1,0,Low,Resolved,20-05-2026
C0077,"theres a rat running around my room every night, its really freaking me out",Public,A,Second,25,Pest Control,for over a week,1,0,High,Pending,20-05-2026
C0078,Notice board glass in the common area is cracked and pieces keep falling out.,Public,C,Second,24,Cleanliness,for the past 3 days,28,13,Medium,Resolved,20-05-2026
C0079,"Hello, mess food quality has gone really bad lately, everything tastes bland and comes out cold. Please look into this.",Public,A,Ground,6,Mess,since Tuesday,103,40,High,In Progress,20-05-2026
C0080,"Geyser pipe connection is leaking hot water near the switch, feels pretty dangerous. Please look into this.",Public,B,Ground,10,Leakage,since last Friday,1,0,High,Resolved,20-05-2026
C0081,"My clothes went missing from the washing machine, this is actually the second time this month. Kindly send someone to look at it.",Public,A,Second,27,Laundry,for a month now,3,0,Medium,In Progress,21-05-2026
C0082,"Water coming out of the tap looks yellowish and smells kind of bad, for almost a week. Thanks in advance.",Public,B,Second,23,Water Supply,for almost a week,20,3,High,Pending,21-05-2026
C0083,"lift got stuck between floors for almost 10 minutes yesterday, was honestly really scary, someone pls check this",Public,C,First,14,Lift,since yesterday,26,0,Critical,Pending,21-05-2026
C0084,the security guard wasnt at the front desk after 11pm again yesterday. Please look into this.,Public,A,First,17,Security,since yesterday,97,2,High,In Progress,21-05-2026
C0085,Cctv camera near the main gate hasnt been working for days now. Not happy about this at all.,Public,A,Second,22,Security,for 4 days now,77,5,High,In Progress,22-05-2026
C0086,"Hi, sofa in the common room has a broken leg and keeps tilting to one side, for a month now.",Public,B,Ground,10,Furniture,for a month now,16,9,Low,Pending,22-05-2026
C0087,"Water tank supplying Block D seems empty, taps have been running dry since morning.",Public,A,Second,29,Water Supply,since this morning,21,0,High,Pending,22-05-2026
C0088,"Since this morning, study table in the common area on First floor has a broken drawer.",Public,C,First,11,Furniture,since this morning,16,0,Low,Pending,22-05-2026
C0089,the mosquito net frame on my window is broken and mosquitoes keep getting in (since this evening). Please look into this.,Public,B,Ground,5,Window,since this evening,1,0,Medium,In Progress,23-05-2026
C0090,"Someone unknown tried to enter our floor around midnight, the entry log wasnt even checked (since noon). Please look into this!!",Private,B,First,18,Security,since noon,32,14,High,Pending,23-05-2026
C0091,Black mold patches have started spreading across the bathroom wall in my room.,Public,B,Second,22,Washroom,since Tuesday,1,0,High,In Progress,23-05-2026
C0092,"Sir, corridor floor on Ground floor is covered in dust and hasnt been swept in a while. Kindly resolve at the earliest.",Public,B,Ground,5,Cleanliness,since yesterday,29,16,Medium,Resolved,23-05-2026
C0093,"For 4 days now, backup power only seems to work for the corridor lights, rooms stay completely dark during cuts.",Public,C,Second,21,Electricity,for 4 days now,28,0,Medium,Resolved,23-05-2026
C0094,"there were small stones in the rice today, I almost broke a tooth, someone pls check this",Public,C,Ground,8,Mess,since this morning,2,0,High,In Progress,24-05-2026
C0095,"Sir, there were small stones in the rice today, I almost broke a tooth. Kindly resolve at the earliest.",Public,A,Ground,3,Mess,since this morning,4,0,High,Pending,25-05-2026
C0096,"Flush in the common washroom on Second floor isnt working properly at all, for the past 2 days. Please look into this at the earliest.",Public,A,Second,28,Washroom,for the past 2 days,22,12,Medium,Resolved,25-05-2026
C0097,"Toilet seat in the washroom on First floor is broken and wobbly, for 2 weeks now. Not happy about this at all.",Public,A,First,20,Washroom,for 2 weeks now,10,4,Medium,Pending,25-05-2026
C0098,Dropped my laptop charger somewhere between the library and Block C.,Private,C,Second,30,Security,since this morning,1,0,Low,In Progress,26-05-2026
C0099,"internet speed on Ground floor becomes unusably slow after around 8pm for 4 days now, need this fixed soon",Public,B,Ground,5,WiFi,for 4 days now,12,4,Medium,Rejected,26-05-2026
C0100,"mess food quality has gone really bad lately, everything tastes bland and comes out cold since yesterday, pls fix asap",Public,A,Ground,9,Mess,since yesterday,101,11,High,Resolved,26-05-2026
C0101,"Hello, the washroom tap in my room is leaking non stop and wasting so much water. Kindly send someone to look at it.",Public,B,Ground,7,Leakage,for 6 days,1,0,Medium,Pending,26-05-2026
C0102,"There were small stones in the rice today, I almost broke a tooth.",Public,A,Ground,6,Mess,since this morning,2,1,High,In Progress,27-05-2026
C0103,"Sir, left my water bottle in the mess hall yesterday and cant find it anywhere now. Kindly resolve at the earliest.",Private,A,First,12,Security,since yesterday,1,0,Low,Resolved,27-05-2026
C0104,The generator right outside makes it impossible to study in the evenings (since this evening). Please look into this.,Public,A,Second,30,Noise,since this evening,74,3,Medium,Resolved,27-05-2026
C0105,"door lock of the common entrance isnt latching properly, it just swings open, for almost a week. This needs urgent attention",Private,B,Second,26,Security,for almost a week,39,9,High,Resolved,27-05-2026
C0106,"the chair in my room is broken, one leg has completely come off",Public,A,Second,28,Furniture,since last night,1,0,Medium,Resolved,27-05-2026
C0107,corridor lights on Second floor have been flickering on and off fr no reason!!,Public,A,Second,25,Electricity,for 2 weeks now,17,6,Medium,In Progress,28-05-2026
C0108,Dustbins on my floor are overflowing and nobody has collected the trash in days (since Tuesday). Please look into this.,Public,B,Second,21,Cleanliness,since Tuesday,12,0,Medium,Resolved,28-05-2026
C0109,"dryer in the laundry area has been out of order for days now, clothes just wont dry, need this fixed soon",Public,A,First,15,Laundry,for 4 days now,15,3,Low,Pending,28-05-2026
C0110,The visitors register at the gate hasnt been updated properly in weeks. Thanks in advance.,Private,C,Ground,9,Security,for 2 weeks now,52,16,Medium,In Progress,28-05-2026
C0111,"the generator right outside makes it impossible to study in the evenings for the past 2 days, need this fixed soon",Public,B,Ground,1,Noise,for the past 2 days,61,26,Low,Pending,29-05-2026
C0112,Misplaced my ID card in the common area.,Private,C,Ground,1,Security,for more than 10 days,2,0,Low,Rejected,29-05-2026
C0113,"Hi, door lock of the common entrance isnt latching properly, it just swings open.",Private,A,Ground,1,Security,since last night,28,8,High,In Progress,29-05-2026
C0114,Cockroaches keep coming out of the drain in my washroom every night.,Public,B,First,16,Pest Control,for over a week,1,0,Medium,Pending,29-05-2026
C0115,"The open drain near the entrance is breeding mosquitoes, its a health hazard honestly (for 4 days now). Please look into this.",Public,A,First,20,Drainage,for 4 days now,125,0,High,Resolved,30-05-2026
C0116,"Basin pipe under the sink is loose and water keeps leaking onto the floor, for over a week.",Public,C,First,12,Leakage,for over a week,1,0,Medium,Resolved,30-05-2026
C0117,There is a bad power fluctuation issue thats damaging chargers and laptops on Second floor.,Public,A,Second,25,Electricity,for 2 weeks now,40,21,High,Pending,30-05-2026
C0118,"Black mold patches have started spreading across the bathroom wall in my room, since 30 minutes.",Public,B,First,15,Washroom,since 30 minutes,1,0,High,Resolved,30-05-2026
C0119,"Hi, internet speed on Second floor becomes unusably slow after around 8pm, for 6 days.",Public,B,Second,26,WiFi,for 6 days,13,7,Medium,In Progress,30-05-2026
C0120,"Hello, notice board glass in the common area is cracked and pieces keep falling out, someone pls check this",Public,B,Ground,4,Cleanliness,since 30 minutes,35,0,Low,Resolved,30-05-2026
C0121,"Theres barely any wifi signal that reaches the rooms at the end of the corridor, for 6 days.",Public,C,Second,25,WiFi,for 6 days,29,3,Low,Resolved,30-05-2026
C0122,"For a month now, there is a bad power fluctuation issue thats damaging chargers and laptops on Ground floor.",Public,A,Ground,6,Electricity,for a month now,30,0,High,Pending,31-05-2026
C0123,"The signboard outside the hostel gate is tilted and needs to be straightened, since last week.",Public,B,Second,21,Furniture,since last week,129,16,Medium,Pending,31-05-2026
C0124,"theres a rat running around my room every night, its really freaking me out, pls fix asap",Public,C,First,18,Pest Control,for over a week,1,0,High,Rejected,31-05-2026
C0125,"theres been no drinking water in the cooler on First floor since this morning, need this fixed soon",Public,C,First,12,Water Cooler,since this morning,23,5,Medium,Rejected,31-05-2026
C0126,"Dryer in the laundry area has been out of order for days now, clothes just wont dry. Please look into this.",Public,A,First,16,Laundry,for 4 days now,29,5,Low,Pending,31-05-2026
C0127,"Its the same boring menu every single day, could we at least get some variety.",Public,C,Second,26,Mess,for over a week,52,23,Low,Resolved,31-05-2026
C0128,"Since Tuesday, water coming out of the tap looks yellowish and smells kind of bad.",Public,C,First,15,Water Supply,since Tuesday,27,3,High,In Progress,01-06-2026
C0129,"Fan in Room 10 makes a loud grinding noise and wobbles when running on high speed, since 2 hours",Public,B,First,17,Electricity,since 2 hours,1,0,Medium,Pending,01-06-2026
C0130,Dustbins on my floor are overflowing and nobody has collected the trash in days.,Public,C,First,12,Cleanliness,for 5 hours,17,3,Medium,Resolved,01-06-2026
C0131,"Dear Warden, water tank supplying Block C seems empty, taps have been running dry since morning. Kindly resolve at the earliest.",Public,C,Second,25,Water Supply,since this morning,23,0,High,In Progress,03-06-2026
C0132,"Hi, common washroom on First floor hasnt been cleaned in days, it genuinely smells really bad, since 30 minutes.",Public,C,First,13,Cleanliness,since 30 minutes,24,14,Medium,In Progress,03-06-2026
C0133,A lizard fell from the ceiling right onto my study table yesterday. Thanks in advance.,Public,C,First,19,Pest Control,since yesterday,1,0,Low,Pending,03-06-2026
C0134,"My clothes went missing from the washing machine, this is actually the second time this month.",Public,B,First,11,Laundry,for a month now,4,0,Low,Pending,03-06-2026
C0135,Power backup didnt kick in at all during last nights outage.,Public,A,Second,22,Electricity,since last night,72,35,High,Rejected,03-06-2026
C0136,"Since Tuesday, the signboard outside the hostel gate is tilted and needs to be straightened.",Public,A,Second,29,Furniture,since Tuesday,115,0,Medium,In Progress,03-06-2026
C0137,"Laundry room on Second floor was locked the entire day, couldnt wash my clothes before my exam, since last Friday. This needs urgent attention.",Public,A,Second,23,Laundry,since last Friday,19,1,High,Pending,04-06-2026
C0138,"For the past 2 days, my denim jacket went missing from the room, not really sure if it was stolen or just misplaced.",Private,A,Ground,4,Security,for the past 2 days,1,0,Low,Pending,04-06-2026
C0139,"its the same boring menu every single day, could we at least get some variety, need this fixed soon",Public,B,Second,24,Mess,for over a week,86,24,Medium,Resolved,04-06-2026
C0140,"Hello, lost my wrist watch somewhere near Block C, would really appreciate any help finding it.",Private,C,First,16,Security,since Tuesday,1,0,Low,In Progress,04-06-2026
C0141,The generator makes so much noise every single time theres a power cut.,Public,C,First,18,Electricity,for over a week,89,42,Low,Resolved,04-06-2026
C0142,"Shower head in the bathroom is broken, water just sprays sideways everywhere.",Public,C,Second,28,Washroom,since Tuesday,1,0,Low,Resolved,05-06-2026
C0143,"The chair in my room is broken, one leg has completely come off.",Public,B,First,16,Furniture,for the past 2 days,2,0,Low,In Progress,05-06-2026
C0144,"The electrical panel near the stairwell keeps making a buzzing sound, sounds unsafe. Hope this gets resolved soon.",Public,B,Ground,10,Electricity,for 3-4 days now,22,9,High,In Progress,05-06-2026
C0145,"Dropped my hoodie somewhere between the library and Block D, if anyone finds it please let me know. Please look into this",Private,C,Second,30,Security,for 5 hours,1,0,Low,In Progress,06-06-2026
C0146,"Lift got stuck between floors for almost 10 minutes yesterday, was honestly really scary.",Public,A,Ground,3,Lift,since yesterday,19,8,Critical,Resolved,06-06-2026
C0147,"Sir, toilet seat in the washroom on Second floor is broken and wobbly, since noon. Kindly resolve at the earliest.",Public,B,Second,30,Washroom,since noon,22,0,Low,Pending,06-06-2026
C0148,"Study table in the common area on First floor has a broken drawer, since noon. Please fix this as soon as possible.",Public,B,First,12,Furniture,since noon,29,0,Low,In Progress,06-06-2026
C0149,"hi, shower head in the bathroom is broken, water just sprays sideways everywhere, for more than 10 days. Kindly resolve at the earliest",Public,A,Second,29,Washroom,for more than 10 days,1,0,Low,In Progress,06-06-2026
C0150,"Dropped my ID card somewhere between the library and Block D, if anyone finds it please let me know",Private,B,Second,25,Security,since last Friday,1,0,Low,Rejected,06-06-2026
C0151,"dryer in the laundry area has been out of order for days now, clothes just wont dry, kindly fix soon",Public,C,Ground,9,Laundry,for 4 days now,24,10,Low,Resolved,06-06-2026
C0152,"hi, found bed bugs in my mattress, honestly cant sleep properly anymore, since last week. Kindly resolve at the earliest",Public,B,Ground,3,Pest Control,since last week,1,0,High,In Progress,06-06-2026
C0153,"my room door lock is jammed, I had to climb through the window yesterday, need this fixed soon",Public,A,Second,26,Furniture,since yesterday,1,0,High,In Progress,07-06-2026
C0154,"Hello, the washroom tap in my room is leaking non stop and wasting so much water. Kindly resolve at the earliest.",Public,A,Second,30,Leakage,for 2 weeks now,1,0,Low,In Progress,07-06-2026
C0155,The washing machine ate my 20 rupees and didnt even start the cycle.,Public,C,First,17,Laundry,since this morning,1,0,Medium,Pending,07-06-2026
C0156,"Dear Warden, carrom board in the common room is missing four coins so we cant even play properly. Kindly resolve at the earliest.",Public,A,Second,27,Furniture,since last Friday,18,9,Low,In Progress,07-06-2026
C0157,"main gate lock has been broken since last week, literally anyone can walk in. Please look into this at the earliest.",Private,C,Second,24,Security,since last week,114,40,High,In Progress,07-06-2026
C0158,"Sir, the washing machine ate my 20 rupees and didnt even start the cycle, since the weekend. Kindly resolve at the earliest.",Public,B,Second,22,Laundry,since the weekend,1,0,Low,Resolved,08-06-2026
C0159,"Laundry room on First floor was locked the entire day, couldnt wash my clothes before my exam, since last night.",Public,B,First,17,Laundry,since last night,19,6,Low,In Progress,09-06-2026
C0160,"construction work right outside starts at 6am and its impossible to get any sleep since the weekend, someone pls check this",Public,A,Second,24,Noise,since the weekend,53,14,High,In Progress,09-06-2026
C0161,"Theres cobwebs all over the staircase, doesnt look like anyone has cleaned it in ages (for the past 3 days). Please look into this.",Public,B,Ground,6,Cleanliness,for the past 3 days,35,9,Low,In Progress,09-06-2026
C0162,"mattress in my room is completely sunken in the middle, my back has been hurting, kindly fix soon",Public,C,First,20,Furniture,for more than 10 days,1,0,Medium,Resolved,10-06-2026
C0163,"Wifi password got changed without telling anyone, nobody on the floor can connect now, since yesterday. This is getting really frustrating.",Public,A,Ground,2,WiFi,since yesterday,36,14,Low,Resolved,10-06-2026
C0164,Some guys on First floor play really loud music till like 2am every single night. Please look into this.,Public,B,First,11,Noise,for over a week,12,6,High,Resolved,10-06-2026
C0165,"hello, benches outside Block C are broken, someone could genuinely get hurt sitting on them. Would appreciate a quick fix.",Public,C,First,13,Furniture,for the past 3 days,11,2,High,In Progress,10-06-2026
C0166,Washroom floor on Second floor stays waterlogged because the drain is clogged.,Public,B,Second,28,Drainage,since 30 minutes,35,0,Medium,In Progress,11-06-2026
C0167,"Found a hair in my food again today, this is like the third time this month.",Public,B,First,16,Mess,for a month now,107,13,High,In Progress,11-06-2026
C0168,"Basin pipe under the sink is loose and water keeps leaking onto the floor, for the past 3 days.",Public,B,Ground,7,Leakage,for the past 3 days,1,0,Medium,In Progress,11-06-2026
C0169,"There is a bad power fluctuation issue thats damaging chargers and laptops on Ground floor, since last week. Thanks in advance.",Public,B,Ground,8,Electricity,since last week,28,5,High,Pending,11-06-2026
C0170,"Lost my bunch of keys somewhere near Block D, would really appreciate any help finding it.",Private,B,First,14,Security,since Monday,1,0,Low,Resolved,11-06-2026
C0171,The milk served at breakfast smelled slightly off this morning. Not happy about this at all.,Public,B,Ground,10,Mess,since this morning,3,2,High,Pending,11-06-2026
C0172,"My notebook went missing from the room, not really sure if it was stolen or just misplaced, since Tuesday. Hope this gets resolved soon.",Private,A,First,12,Security,since Tuesday,1,0,Low,Pending,11-06-2026
C0173,a group keeps playing loud games in the corridor past midnight almost every day. Please look into this.,Public,B,First,18,Noise,for over a week,17,0,Low,Rejected,12-06-2026
C0174,"Hello, AC remote isnt working properly and the AC wont switch off even at night, since Wednesday. Kindly resolve at the earliest.",Public,C,Ground,8,Electricity,since Wednesday,1,0,Medium,Resolved,12-06-2026
C0175,misplaced my notebook in the common area.,Private,B,First,14,Security,for almost a week,1,0,Low,Rejected,12-06-2026
C0176,Mosquitoes are unbearable in the evenings.,Public,C,Ground,2,Pest Control,for a month now,19,0,High,Pending,12-06-2026
C0177,"mess hall tables are always sticky and the floor never actually gets mopped since Tuesday, kindly fix soon",Public,C,Second,27,Mess,since Tuesday,102,29,High,Resolved,13-06-2026
