Complaint_ID,Complaint_Text,Complaint_Type,Block,Floor,Room_No,Category,Duration_Standardized,Support_Count,Priority,Status,Complaint_Date
C0309,"My denim jacket has gone missing from the room, not sure if someone took it or I just lost track of it.",Private,A,Ground,10,Security,2 days,0,Low,Pending,11-07-2026
C0310,"Mosquitoes are unbearable in the evenings, we havent been given any nets or repellent, for 5 hours.",Public,C,Ground,4,Pest Control,5 hours,6,High,Pending,12-07-2026
C0311,"Laundry dryer isnt working, clothes are coming out still damp.",Public,A,Ground,4,Laundry,4 days,5,Low,Pending,12-07-2026
C0315,Paint on the outer building wall is fading badly and looks quite patchy now.,Public,B,Second,23,Furniture,1 day,33,Medium,Pending,12-07-2026
C0316,Evenings are unbearable because of mosquitoes and we havent gotten any nets or repellent yet.,Public,A,Second,30,Pest Control,4 days,0,High,In Progress,12-07-2026
C0317,Flush in the Ground floor common washroom has stopped working properly.,Public,B,Ground,7,Washroom,3 days,0,Medium,Pending,12-07-2026
C0320,"The sink in my room is clogged, water just sits there and doesnt go down.",Public,B,First,17,Drainage,6 days,0,Low,Pending,13-07-2026
C0322,"We never know when mess timing is going to shift, missed dinner again because of it.",Public,B,First,20,Mess,3 days,42,Medium,Pending,13-07-2026
C0323,"Wardrobe door in my room doesnt shut properly anymore, the hinges look rusted through, for almost a week.",Public,C,Second,25,Furniture,6 days,0,Medium,Pending,14-07-2026
C0326,Washroom mirror is covered in stains and never actually gets wiped down.,Public,C,Second,28,Cleanliness,2 days,0,Low,Pending,14-07-2026
C0327,"My laptop charger went missing from the room, not really sure if it was stolen or just misplaced since this morning, kindly fix soon.",Private,C,Ground,9,Security,8 hours,0,Low,Pending,14-07-2026
C0328,"Misplaced my bunch of keys in the common area, it has my name written on it, since 2 hours.",Private,A,First,19,Security,2 hours,0,Low,Resolved,14-07-2026
C0329,Window latch in my room is broken so it doesnt lock shut anymore (for 3-4 days now).,Public,C,Ground,6,Window,4 days,0,Low,In Progress,14-07-2026
C0331,"Block B inverter isnt holding charge anymore, backup drops within 10 minutes.",Public,B,First,12,Electricity,3 days,14,Medium,Pending,15-07-2026
C0333,"Water cooler on Second floor has been completely dry, cant fill our bottles at all.",Public,A,Second,28,Water Cooler,8 hours,3,High,Pending,16-07-2026
C0335,Theres a crack spreading across my ceiling and it looks like its getting worse.,Public,B,First,15,Furniture,1 day,0,Medium,In Progress,16-07-2026
C0337,A group keeps playing loud games in the corridor past midnight almost every day.,Public,C,First,17,Noise,8 days,18,Low,Pending,17-07-2026
C0338,"Food quality at the mess has dropped a lot lately, everything is bland and served cold.",Public,B,Ground,5,Mess,6 hours,56,High,Resolved,17-07-2026
C0339,The router near the common room has just been blinking red since yesterday.,Public,B,Ground,6,WiFi,1 day,3,Medium,Resolved,18-07-2026
C0343,One leg of my bed frame feels loose and the whole bed creaks whenever I move.,Public,A,Ground,9,Furniture,12 days,0,Medium,Resolved,18-07-2026
C0344,"The ladder on my bunk bed wobbles badly every time I climb up, feels unsafe.",Public,C,First,16,Furniture,12 days,0,High,In Progress,18-07-2026
C0345,"Common room curtains are torn and dont close fully anymore, sunlight comes in all day.",Public,C,Ground,7,Furniture,5 hours,10,Low,Rejected,19-07-2026
C0347,"Second floor corridor hasnt been swept in days, dust everywhere.",Public,B,Second,23,Cleanliness,6 days,17,Medium,Pending,20-07-2026
C0349,"My room sink drain is fully blocked, nothing drains through anymore.",Public,B,Second,25,Drainage,3 days,0,Low,Rejected,21-07-2026
